architecture,victim,seed,steps,B,H,K,lr,gamma,victim_alpha,victim_beta,victim_delta,victim_training_mode,jepa_coef,q_decoder_coef,q_decoder_target,q_decoder_max_target_age,q_decoder_class_balance,collapse_coef,collapse_target_std,eval_modes,result_path,status,has_csv,csv_files,artifact_count,schema_version,final_eval_avg_profit_oracle,final_eval_avg_profit_victim,final_eval_market_price_mean,final_eval_continuation_adaptive_avg_profit_oracle,final_eval_continuation_adaptive_avg_profit_victim,final_eval_continuation_adaptive_market_price_mean,final_normalized_q_mse,final_greedy_action_accuracy,final_q_gap_prediction_error,final_latent_feature_variance,final_latent_collapsed_fraction,final_zero_q_baseline_mse,final_running_mean_q_baseline_mse,final_majority_greedy_accuracy,final_decoder_mse_improvement_over_zero,final_decoder_mse_improvement_over_running_mean,final_decoder_accuracy_improvement_over_majority,final_latent_effective_covariance_rank,final_latent_participation_ratio,final_latent_mean_abs_offdiag_correlation,final_replay_target_age_mean,spec_id,run_id,duplicate_of
mlp_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds/depth_0/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26672931388020515,0.2615320384502411,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,1b21462e971aa1e0da9e53ed5e08f1db00c63fc6e061bbf8851f241891dabe34,
mlp_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds/depth_0/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26927471067756414,0.24910150887444615,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,e4b04ef156d60943d21cdcec950553d8dc72f71ef8a4d18dcf09ba78f045f0d7,
mlp_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds/depth_0/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.24672291427850723,0.2693269979208708,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,e38990286caff4a49c770c1ed2d020ac210e853f74398f00ceae44d7c6c8f333,
reservoir_oracle_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_128/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.270617812871933,0.2523215161636472,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,b030dfa3ccd1507b7974038c5a131297d8b3c7c68c4879a00e10600a21ca0b5f,
reservoir_oracle_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_128/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.27929858677089214,0.27521206391975284,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,3b3b5ebb41778d7f678bc413e316b7c1e69c644f684b203ca2b5179977825903,
reservoir_oracle_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_128/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26562100648880005,0.26524129044264555,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,e288beca3d8cae8dea8ead8438416488ba2d9cdee35e5ad3b77272bfb034ed6e,
reservoir_oracle_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_16/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2466069282963872,0.2814346868544817,,,,,,,,,,,,,,,,,,,,3891181ad4b9f765fca58b125c4d7853ceadc8c8a33418a59934f75cc6a1683e,bd863126b19e8909947278bfbd174ab7084d2059ecb9283a30f40fd298dee9de,
reservoir_oracle_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_16/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.252895868383348,0.23686559312045574,,,,,,,,,,,,,,,,,,,,3891181ad4b9f765fca58b125c4d7853ceadc8c8a33418a59934f75cc6a1683e,5a0060e354d2a28d2a844a279364a169143ce03d13ccc915a536b83136dcc059,
reservoir_oracle_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_16/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.28359251096844673,0.24301221407949924,,,,,,,,,,,,,,,,,,,,3891181ad4b9f765fca58b125c4d7853ceadc8c8a33418a59934f75cc6a1683e,b6a146bbb61a290a5ca4a78b477adad979fcf44fd3f74a59002b3e0e1d9d1674,
reservoir_oracle_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_256/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26917116716504097,0.24969359301030636,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,12c7ffb5974a87449e280914cda0923b1ac1ddbd6ae6fc621eded8c5a94bc8de,
reservoir_oracle_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_256/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.28648586943745613,0.22956044040620327,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,d8b93dfe326ead68ac3868f6183eaa88e4cb1031a9b5094943b082765d6d76b9,
reservoir_oracle_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_256/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.25334311928600073,0.2511937306262553,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,a2ec448870cbc3e623a7d68142bdd5cf156292ab60d6bf2f781f36abe9732297,
reservoir_oracle_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_32/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.23099679360166192,0.2831077501177788,,,,,,,,,,,,,,,,,,,,d5011efcdbac254c3d3f59a8880508b33c502d40b1048814d4af0b71e555484c,0e0239ecbe9db5cc3b8304bfe567f08633394332cc570ea050bd92275e3c97a9,
reservoir_oracle_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_32/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.27848404506221414,0.2614771109074354,,,,,,,,,,,,,,,,,,,,d5011efcdbac254c3d3f59a8880508b33c502d40b1048814d4af0b71e555484c,09ea5afbd0c00e79baa9a3a69fcba61bfca7d1cdf9467ed39a163d02f3d46467,
reservoir_oracle_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_32/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.27797228191047907,0.24827941693365574,,,,,,,,,,,,,,,,,,,,d5011efcdbac254c3d3f59a8880508b33c502d40b1048814d4af0b71e555484c,5c9b338d14f089f0b46425bf02c03606ce1039eff362ac6ac6d65fb777a1b823,
reservoir_oracle_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_64/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.25107562728226185,0.25730723002925515,,,,,,,,,,,,,,,,,,,,dc0356a29157b9eb0427f1b3ce42225ad44a192244aea61d347237c94b824e04,068db35fa380f1cfa7bc1373dff1f06cd58ed5f0581e22a3e258c92d28f38c2c,
reservoir_oracle_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_64/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.27097019692882895,0.24746402446180582,,,,,,,,,,,,,,,,,,,,dc0356a29157b9eb0427f1b3ce42225ad44a192244aea61d347237c94b824e04,c0b793099f0b68ef5b0165ac54e61bb54e0250c071f00beff9a28bba56fc7505,
reservoir_oracle_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_64/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2588839493691921,0.27415615040808916,,,,,,,,,,,,,,,,,,,,dc0356a29157b9eb0427f1b3ce42225ad44a192244aea61d347237c94b824e04,1a46c10fbc7433b5a932f1a898cab0d3bab13aedbed254a60547c36333bee070,
mlp_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26672931388020515,0.2615320384502411,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,1b21462e971aa1e0da9e53ed5e08f1db00c63fc6e061bbf8851f241891dabe34,results/ac_depth_sweep_1000_3seeds/depth_0/seed_0
mlp_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26927471067756414,0.24910150887444615,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,e4b04ef156d60943d21cdcec950553d8dc72f71ef8a4d18dcf09ba78f045f0d7,results/ac_depth_sweep_1000_3seeds/depth_0/seed_1
mlp_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.24672291427850723,0.2693269979208708,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,e38990286caff4a49c770c1ed2d020ac210e853f74398f00ceae44d7c6c8f333,results/ac_depth_sweep_1000_3seeds/depth_0/seed_2
mlp_vs_mlp,,3,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_3,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.27799186296761036,0.28161918837577105,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,a38e8fae87433c2274ca42e8a82178e6979f8af87d7e9fa9d8eb9d2376b8b416,
mlp_vs_mlp,,4,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_4,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2826310619711876,0.26103054359555244,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,3afb536f087e7582d5c0cd429e02b9957ace9ec86bc2e60f11ccf85b49ff493d,
mlp_vs_mlp,,5,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_5,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.27315337490290403,0.24395363638177514,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,12d739283de03648397bbc1842c6b3de292ed809bb56fb1595b9166d95c9cf97,
mlp_vs_mlp,,6,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_6,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2762026647105813,0.26502201426774263,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,0fbbccd44c42755341cbb64a239934dc1c2fa80e3a8c17971688664ee37a3430,
mlp_vs_mlp,,7,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_7,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2543911156244576,0.2679245714098215,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,75507f1fcf2b73aca5230dbba61e2d3bfba462cbb15f7a44fc5752443869370a,
mlp_vs_mlp,,8,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_8,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26691724080592394,0.24751939438283443,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,a56486a225a77f5d1a3094b46667c936be35373b3a4d4be5a59a9a65ac69b3b1,
mlp_vs_mlp,,9,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_0/seed_9,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2440160708501935,0.29085205402225256,,,,,,,,,,,,,,,,,,,,e1b98ac52944eb03377f6b02dfdf895d18bc8be336913f09bdfbe4f5049dc259,92e9f96b36eb3071137e176b75595daca670f9d9bcdcf1f60d9e62899fe567ff,
reservoir_oracle_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.270617812871933,0.2523215161636472,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,b030dfa3ccd1507b7974038c5a131297d8b3c7c68c4879a00e10600a21ca0b5f,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_128/seed_0
reservoir_oracle_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.27929858677089214,0.27521206391975284,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,3b3b5ebb41778d7f678bc413e316b7c1e69c644f684b203ca2b5179977825903,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_128/seed_1
reservoir_oracle_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26562100648880005,0.26524129044264555,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,e288beca3d8cae8dea8ead8438416488ba2d9cdee35e5ad3b77272bfb034ed6e,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_128/seed_2
reservoir_oracle_vs_mlp,,3,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_3,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.279072729870677,0.27519610058516264,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,58bb21aafbc61443ccb3eb65e2788037f8794633c927fe7490b5876be5b196fb,
reservoir_oracle_vs_mlp,,4,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_4,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2693782541900873,0.24850942473858595,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,aeca73e902e5e43ec452183b01c66ac7419f8a4857e703a2b155364d93e46f56,
reservoir_oracle_vs_mlp,,5,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_5,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.24840022530406713,0.26493713166564703,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,52a1020533ce70927cd7cba6c7830937bbc9382bc0773b79747cc733685a87bd,
reservoir_oracle_vs_mlp,,6,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_6,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2442845026962459,0.2693530833348632,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,fe3a5fa36bb291e793cf001db3a9516a89c5ee723ec0d020af1e893ee2d91331,
reservoir_oracle_vs_mlp,,7,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_7,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26814521476626396,0.26215400639921427,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,5ceab0c3e34fe68822074f052ac132e46ba13dafe5cecd78c52e1a7516f6ce04,
reservoir_oracle_vs_mlp,,8,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_8,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.24802048970013857,0.26564841670915484,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,3af73aafa9f0e4119e9ac96c9a50221247224d34dc44589588567f4e1e00f5f7,
reservoir_oracle_vs_mlp,,9,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_128/seed_9,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2658105604350567,0.25455807615071535,,,,,,,,,,,,,,,,,,,,02259f80a48eb3a50375621bbe055e4198323408f6b25ccedf5577894361495b,844a5c429737cb48bd90107c6fb4cea079b667154b30960e1a574b7d3696b478,
reservoir_oracle_vs_mlp,,0,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_256/seed_0,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26917116716504097,0.24969359301030636,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,12c7ffb5974a87449e280914cda0923b1ac1ddbd6ae6fc621eded8c5a94bc8de,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_256/seed_0
reservoir_oracle_vs_mlp,,1,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_256/seed_1,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.28648586943745613,0.22956044040620327,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,d8b93dfe326ead68ac3868f6183eaa88e4cb1031a9b5094943b082765d6d76b9,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_256/seed_1
reservoir_oracle_vs_mlp,,2,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_256/seed_2,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.25334311928600073,0.2511937306262553,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,a2ec448870cbc3e623a7d68142bdd5cf156292ab60d6bf2f781f36abe9732297,results/ac_depth_sweep_1000_3seeds_reservoir_only/depth_256/seed_2
reservoir_oracle_vs_mlp,,3,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_256/seed_3,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.2461277898401022,0.2813632329925895,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,4e48cffc278352c9bfe2f414c7c278f6d8517c7cfecfdc652c90357e7c4cd39b,
reservoir_oracle_vs_mlp,,4,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_256/seed_4,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.23686287831515074,0.253062488976866,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,24a116848986abb73d50732ef0ca118d1052b36c909b0813e07844f4f4312997,
reservoir_oracle_vs_mlp,,5,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_256/seed_5,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.24850159464403987,0.2692946046590805,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,dc5ed37da5f6afffb879583be5b35432720e44f53a51dd46413f8ce6a85bc916,
reservoir_oracle_vs_mlp,,6,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_256/seed_6,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.24203947698697448,0.28325289580971,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,9390d2978951ca7d5894eb7783d63bd3f269cf7dc2d6f40c66b99756f4e0f636,
reservoir_oracle_vs_mlp,,7,32,64,8,15,0.01,0.95,,,,adaptive,,,,,,,,,results/ac_large_depths_1000_10seeds/depth_256/seed_7,completed,True,eval_metrics.csv;train_metrics.csv,3,0,0.26099944580346346,0.24843030562624335,,,,,,,,,,,,,,,,,,,,7a623f9352c4e735a3fe07024aee3d644a2cce6494d8d35baaa9c7d7280f6238,ade8396ec42af0388fb475c17a7149069527821cdd2ab7172332c91fc9dcf06a,
