seed_left,seed_right,same_terminal_policy,profit_abs_diff,price_abs_diff,q_table_rmse,greedy_policy_disagreement_rate,terminal_selected_q_abs_diff,terminal_row_alternative_rmse
0,1,False,0.013796758488355876,0.03873394628532223,0.1350509142812179,0.9377777777777778,,
0,2,False,0.014735792793146185,0.09686876978305103,0.17659245987782077,0.92,,
0,3,False,0.002665443417815383,0.019373753956442696,0.17330386693496228,0.92,,
0,4,False,0.004144253592880842,0.03874750791324799,0.18536678122674763,0.9377777777777778,,
0,5,False,0.008296540610342462,0.038747507913116985,0.14945821000043139,0.9066666666666666,,
0,6,False,0.002665443417815383,0.019373753956442696,0.15516339153742295,0.9288888888888889,,
0,7,False,0.002263235213889714,7.749501543807824e-06,0.15516353265114885,0.9377777777777778,,
0,8,True,0.0,0.0,0.10189995465303757,0.9333333333333333,0.0,0.09253310147089124
0,9,False,0.010823488573668993,0.05812126186983213,0.26076085535362287,0.9066666666666666,,
1,2,False,0.02853255128150206,0.13560271606837326,0.16461167686261505,0.92,,
1,3,False,0.011131315070540493,0.019360192328879533,0.17630955025902656,0.8666666666666667,,
1,4,False,0.017941012081236718,0.07748145419857022,0.15642890592334713,0.8844444444444445,,
1,5,False,0.005500217878013414,1.3561627794755893e-05,0.10709000516167849,0.9155555555555556,,
1,6,False,0.011131315070540493,0.019360192328879533,0.14025017843016946,0.8666666666666667,,
1,7,False,0.011533523274466162,0.03872619678377842,0.21488273158341128,0.8755555555555555,,
1,8,False,0.013796758488355876,0.03873394628532223,0.11479612773732661,0.9022222222222223,,
1,9,False,0.02462024706202487,0.09685520815515436,0.21567006172009534,0.8755555555555555,,
2,3,False,0.017401236210961568,0.11624252373949373,0.21050415837507963,0.8711111111111111,,
2,4,False,0.010591539200265343,0.05812126186980304,0.18797921938640527,0.9066666666666666,,
2,5,False,0.023032333403488647,0.13561627769616802,0.15779085834244275,0.88,,
2,6,False,0.017401236210961568,0.11624252373949373,0.17629677063373303,0.92,,
2,7,False,0.0169990280070359,0.09687651928459484,0.24136406618086467,0.88,,
2,8,False,0.014735792793146185,0.09686876978305103,0.15772364520334642,0.9111111111111111,,
2,9,False,0.003912304219477192,0.038747507913218904,0.23890806432048783,0.8755555555555555,,
3,4,False,0.006809697010696225,0.05812126186969069,0.20817032588271422,0.8622222222222222,,
3,5,False,0.005631097192527079,0.01937375395667429,0.178664803956525,0.8622222222222222,,
3,6,False,0.0,0.0,0.19393984130788802,0.8711111111111111,,
3,7,False,0.00040220820392566914,0.01936600445489889,0.22176141074056915,0.8533333333333334,,
3,8,False,0.002665443417815383,0.019373753956442696,0.17697535244673268,0.8888888888888888,,
3,9,False,0.013488931991484376,0.07749501582627483,0.2630022259298079,0.8755555555555555,,
4,5,False,0.012440794203223304,0.07749501582636498,0.13948303641888632,0.8444444444444444,,
4,6,False,0.006809697010696225,0.05812126186969069,0.17117000568331533,0.8711111111111111,,
4,7,False,0.006407488806770556,0.0387552574147918,0.2548624828967859,0.8266666666666667,,
4,8,False,0.004144253592880842,0.03874750791324799,0.15416839103294508,0.92,,
4,9,False,0.006679234980788151,0.01937375395658414,0.21922620335242227,0.9244444444444444,,
5,6,False,0.005631097192527079,0.01937375395667429,0.129708055628509,0.9111111111111111,,
5,7,False,0.006033305396452748,0.03873975841157318,0.23854731507751484,0.8666666666666667,,
5,8,False,0.008296540610342462,0.038747507913116985,0.11568025187193798,0.9466666666666667,,
5,9,False,0.019120029184011456,0.09686876978294912,0.18683641704054532,0.9066666666666666,,
6,7,False,0.00040220820392566914,0.01936600445489889,0.23353754636776547,0.88,,
6,8,False,0.002665443417815383,0.019373753956442696,0.13351467620305182,0.9466666666666667,,
6,9,False,0.013488931991484376,0.07749501582627483,0.21932208195938432,0.8666666666666667,,
7,8,False,0.002263235213889714,7.749501543807824e-06,0.18803801790686495,0.9377777777777778,,
7,9,False,0.013086723787558707,0.05812901137137594,0.3282779450442335,0.9022222222222223,,
8,9,False,0.010823488573668993,0.05812126186983213,0.22694603198298835,0.9244444444444444,,
