cell,layer,window,metric,N_seed,reference_N_seed,mean,reference_mean,difference_vs_mature_q_vs_q,bootstrap_difference_ci_low,bootstrap_difference_ci_high
DQN,main_public_observation,last_100k,consumer_surplus_approx,10,10,0.5245175221244408,0.4383392275582921,0.08617829456614873,0.06634393344038451,0.10860664126408368
DQN,main_public_observation,last_100k,joint_profit,10,10,0.5849705695748993,0.6409920974011749,-0.05602152782627556,-0.06641962016400688,-0.04599163615894157
DQN,main_public_observation,last_100k,total_welfare_approx,10,10,1.1094880916993402,1.0793313249594667,0.030156766739873442,0.01887945509029923,0.04291048571417733
Tabular full-information regret matching,main_known_payoff_model,last_100k,consumer_surplus_approx,10,10,0.6577396593770499,0.4383392275582921,0.21940043181875785,0.20016925669677899,0.24150383367005654
Tabular full-information regret matching,main_known_payoff_model,last_100k,joint_profit,10,10,0.4838165829388411,0.6409920974011749,-0.1571755144623338,-0.1672385816737007,-0.14772369744249395
Tabular full-information regret matching,main_known_payoff_model,last_100k,total_welfare_approx,10,10,1.1415562423158911,1.0793313249594667,0.062224917356424436,0.05102446217135768,0.0749438825540572
Latent-prediction DQN (JEPA-style),main_public_observation,last_100k,consumer_surplus_approx,10,10,0.5405413996741625,0.4383392275582921,0.1022021721158704,0.0830060713714556,0.12434498419296501
Latent-prediction DQN (JEPA-style),main_public_observation,last_100k,joint_profit,10,10,0.5467914421986343,0.6409920974011749,-0.09420065520254062,-0.10427272888816093,-0.08473935919937195
Latent-prediction DQN (JEPA-style),main_public_observation,last_100k,total_welfare_approx,10,10,1.0873328418727968,1.0793313249594667,0.008001516913330065,-0.003205079538208055,0.020738926033921804
Q-supervised opponent-model DQN,q_supervised_diagnostic,last_100k,consumer_surplus_approx,10,10,0.5400207558395604,0.4383392275582921,0.10168152828126836,0.08243980671351062,0.12381055421789827
Q-supervised opponent-model DQN,q_supervised_diagnostic,last_100k,joint_profit,10,10,0.5470471430280014,0.6409920974011749,-0.09394495437317352,-0.10398916685379145,-0.08449708310181847
Q-supervised opponent-model DQN,q_supervised_diagnostic,last_100k,total_welfare_approx,10,10,1.0870678988675617,1.0793313249594667,0.0077365739080950124,-0.0034644076379643615,0.020457452091943506
Q-row reconstruction DQN,q_supervised_diagnostic,last_100k,consumer_surplus_approx,10,10,0.5403281276841413,0.4383392275582921,0.10198890012584921,0.08272342508517007,0.12408295933158028
Q-row reconstruction DQN,q_supervised_diagnostic,last_100k,joint_profit,10,10,0.5469341844054688,0.6409920974011749,-0.0940579129957061,-0.10415710262797673,-0.08457534894339586
Q-row reconstruction DQN,q_supervised_diagnostic,last_100k,total_welfare_approx,10,10,1.08726231208961,1.0793313249594667,0.007930987130143397,-0.0032685155636722916,0.02065959787205802
"Model-based Q-update rollout planner, H=5",victim_model_access_diagnostic,last_100k,consumer_surplus_approx,10,10,0.5597863421985361,0.4383392275582921,0.12144711464024399,0.10221894522369207,0.14356729315729652
"Model-based Q-update rollout planner, H=5",victim_model_access_diagnostic,last_100k,joint_profit,10,10,0.5361383075879733,0.6409920974011749,-0.10485378981320159,-0.11491925869445052,-0.09541926755735632
"Model-based Q-update rollout planner, H=5",victim_model_access_diagnostic,last_100k,total_welfare_approx,10,10,1.0959246497865096,1.0793313249594667,0.0165933248270429,0.005388092533979273,0.029314553897627285
